
## linkding-remove-original-markdown completed
source_refuted | The fixed source enforces the declared expectation that only the bookmark owner may delete. The route maps the shared-action endpoint to shared_action, which dispatches a POST containing only remove to remove. remove then obtains the bookmark through bookmark_write, whose query requires owner=request.user; a non-owner therefore cannot obtain the target and the delete call is unreachable. The actual decision for the stated caller and bookmark is deny (via the visible ownership gate, ordinarily as a not-found response), not allow. Sharing changes the read relationship only: bookmark_read permits an authenticated user to read a shared bookmark when the owner's sharing setting is enabled, but its POST path also rejects non-owners, and the deletion path uses the stricter owner-bound write accessor rather than the sharing read accessor. The supplied superuser/role facts do not create an alternate visible bypass in this entry. Task assumptions include the authenticated identity, bookmark state/settings, POST contents, CSRF and unrelated infrastructure checks, and standard Django/ORM behavior; no decisive external fact is needed to decide this bounded source path. Repository-wide completeness, deployment middleware, and other entries are not assessed.
fact[1] binding The entry is guarded by login_required, so the assessed path uses the authenticated request user. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 12, "endLine": 14}]
fact[2] binding On POST, the request task_id selects the existing Task, and the selected task supplies its task_list for subsequent checks and redirect construction. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 19, "endLine": 25}]
fact[3] binding The group resource checked by the authorization branch is the group related to the selected task's task list, distinct from the task itself. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 22, "endLine": 33}, {"sourceId": "src-f2f99f656232b261", "startLine": 55, "endLine": 59}]
fact[4] control The staff_check gate returns true for all logged-in users when TODO_STAFF_ONLY is false, so it does not exclude this authenticated ordinary caller. | [{"sourceId": "src-cf660372383c8172", "startLine": 17, "endLine": 27}]
fact[5] control The strongest operation-specific control authorizes when any one of creator, superuser, assignee, or task-list-group membership is true; the supplied assignee relation makes this condition true despite the other negative role facts. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 27, "endLine": 33}]
fact[6] effect After the authorization condition succeeds, the selected task is deleted and the success response path is taken. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 34, "endLine": 39}]
fact[7] condition The assessed condition set includes POST, an existing task, and TODO_STAFF_ONLY explicitly false; the POST branch and false-setting behavior are visible in the supplied source. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 19, "endLine": 20}, {"sourceId": "src-cf660372383c8172", "startLine": 23, "endLine": 27}]
Missing: []

## todo-task-changed-markdown completed
source_refuted | The fixed source supports enforcement of the declared policy expectation for the stated state, so it refutes a policy failure. The route binds POST delete/<task_id> to delete_task, and the view requires authentication plus the staff_check decorator. Because TODO_STAFF_ONLY is explicitly False, staff_check returns True for logged-in users; the caller therefore passes that outer control despite being ordinary and non-staff. On POST, the view binds the supplied task_id to an existing Task, then applies an OR authorization check: creator, superuser, assignee, or member of the task list's group. The caller is an assignee, so the visible authorization check passes even though the caller is neither creator, superuser, nor group member. The protected effect is task.delete(), followed by success messaging and redirect. Thus the source-visible decision is allow for this caller and relation. The caller identity, task existence, assignment, group non-membership, POST method, explicit setting, CSRF and unrelated infrastructure behavior are task assumptions or supplied context; the cited source facts establish the route, bindings, controls, and effect. No decisive external fact is missing under the stated assumptions. Framework, authentication-backend, middleware, deployment, and storage-success details are not established by this crop, but they are outside the requested reachability decision and are expressly assumed or not required.
fact[0] entry The URL pattern maps delete/<int:task_id>/ to the exported delete_task view. | [{"sourceId": "src-2aa84d8e91e9c931", "startLine": 42, "endLine": 46}]
fact[1] entry The views package exports delete_task from todo.views.delete_task. | [{"sourceId": "src-543995004a0ed0e1", "startLine": 1, "endLine": 4}]
fact[2] binding delete_task is protected by login_required and user_passes_test(staff_check), and receives the request and task_id. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 12, "endLine": 14}]
fact[3] binding For POST, the task_id is resolved to an existing Task, and the task list and its group are read for redirect construction and authorization. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 19, "endLine": 24}, {"sourceId": "src-3d25f8db47b1c03f", "startLine": 27, "endLine": 33}]
fact[4] control When TODO_STAFF_ONLY is false, staff_check returns true rather than requiring staff status, while the login decorator still requires an authenticated user. | [{"sourceId": "src-cf660372383c8172", "startLine": 17, "endLine": 27}, {"sourceId": "src-3d25f8db47b1c03f", "startLine": 12, "endLine": 14}]
fact[5] control The strongest visible task-level authorization control allows the operation if the caller is the creator, a superuser, assigned to the task, or a member of the task list group. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 27, "endLine": 34}]
fact[6] condition A Task has a creator, an assignee many-to-many relation, and a task-list relation; the task list has a group relation used by the authorization check. | [{"sourceId": "src-f2f99f656232b261", "startLine": 55, "endLine": 59}, {"sourceId": "src-f2f99f656232b261", "startLine": 71, "endLine": 89}]
fact[7] effect After the authorization check passes, the view deletes the bound task and returns a redirect after recording a success message. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 34, "endLine": 39}]
fact[8] condition The deletion branch is entered only for POST; non-POST requests are denied. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 19, "endLine": 20}, {"sourceId": "src-3d25f8db47b1c03f", "startLine": 41, "endLine": 42}]
Missing: []

## todo-list-original-markdown completed
source_refuted | The supplied source enforces the declared policy expectation for the stated caller and resource, so it refutes a policy failure. The route binds the POST delete endpoint to del_list; the view is exported through the views package. Authentication is required, and the visible authorization path combines the staff_check gate with explicit resource-group membership and staff checks. With TODO_STAFF_ONLY set to False, staff_check returns true for logged-in users, but the view then independently denies a caller who is not a member of the list's group or who is not staff. The stated caller is a member of the list group but is non-staff, so the explicit staff check raises PermissionDenied before the POST deletion effect. The valid ID/slug and existing-list conditions are task assumptions; source shows lookup by ID, while the supplied excerpt does not validate that the slug matches the list. The protected effect is deletion of the TaskList and its related cascade effects, followed by success messaging and redirect, but that effect is unreachable for this caller. The source does not establish repository-wide completeness, deployment behavior, authentication-backend details, middleware behavior, or exact HTTP status beyond the stated framework assumptions. No decisive missing fact prevents this source-level conclusion under the supplied conditions.
fact[0] entry The URL pattern maps the list ID/slug delete path to del_list, and the view package exports del_list. | [{"sourceId": "src-2aa84d8e91e9c931", "startLine": 18, "endLine": 25}]
fact[1] binding The entry requires login and applies the staff_check test before entering the view. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 11, "endLine": 13}]
fact[2] binding The view resolves the target TaskList by the supplied list ID; the model associates each list with a group. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 16, "endLine": 16}]
fact[3] binding A TaskList has a group foreign-key relationship, which supplies the resource's group relation used by the view. | [{"sourceId": "src-f2f99f656232b261", "startLine": 55, "endLine": 59}]
fact[4] control When TODO_STAFF_ONLY is false, staff_check returns true rather than requiring staff status; this global gate does not itself grant the later view-level operation. | [{"sourceId": "src-cf660372383c8172", "startLine": 17, "endLine": 27}]
fact[5] control After resolving the list, the view requires both membership in the list group and request-user staff status, raising PermissionDenied if either condition fails. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 18, "endLine": 23}]
fact[6] condition The destructive branch is conditional on a POST request; the task supplies that request condition. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 25, "endLine": 25}]
fact[7] effect If authorization succeeds on POST, the resolved TaskList is deleted and the view reports success before redirecting to the lists page. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 25, "endLine": 28}]
fact[8] condition The task supplies group membership but is_staff=false; because the view independently requires both relations, the non-staff state is decisive for denial even though TODO_STAFF_ONLY is false. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 20, "endLine": 23}]
fact[9] condition The task supplies a valid matching slug as an assumption, but the supplied view lookup visibly uses the ID and does not compare the slug in the shown code. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 16, "endLine": 16}]
Missing: []

## todo-list-original-dsl completed
source_refuted | The declared policy expectation is deny for this non-staff group member, and the fixed source enforces that denial. The route maps the requested URL to del_list. The entry first requires an authenticated caller and applies staff_check; with TODO_STAFF_ONLY=False, that decorator permits logged-in users, but the view then binds the caller through request.user and independently requires membership in the list's group and request.user.is_staff. The supplied caller is a member but has is_staff=False, so the explicit staff check raises PermissionDenied before the POST deletion branch. The request-selected list is fetched by list_id; the supplied matching slug is accepted as a parameter but is not used to constrain the lookup. The distinct checked resource is the list's associated group, which is tested against the caller's groups. Because the caller fails the strongest applicable authorization control, the protected delete call is unreachable for the stated state. No source-external fact is needed to change this authorization result under the supplied assumptions; deployment, middleware, backend, and successful database execution remain outside scope and are not asserted as discovered facts. This covers all public questions: route/entry, identity binding, object and group binding, strongest control including the non-staff branch, protected effect reachability, and decisive missing-fact assessment.
fact[0] entry The declared POST path routes to the del_list entry, and the imported view exposes that entry. | [{"sourceId": "src-2aa84d8e91e9c931", "startLine": 18, "endLine": 25}, {"sourceId": "src-543995004a0ed0e1", "startLine": 1, "endLine": 3}]
fact[1] binding The runtime caller used for authorization is request.user; the entry is protected by login_required before its body is reached. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 11, "endLine": 16}]
fact[2] binding The requested list is bound by the URL list_id to a TaskList lookup; the supplied list_slug is not used in that lookup or in the subsequent authorization checks. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 13, "endLine": 16}]
fact[3] binding The other checked resource is the selected list's associated group, and authorization compares that group with the groups of request.user. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 16, "endLine": 23}]
fact[4] control The decorator-level staff_check permits every logged-in user when TODO_STAFF_ONLY evaluates false, so it is not the decisive denial for the supplied setting. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 11, "endLine": 13}, {"sourceId": "src-cf660372383c8172", "startLine": 17, "endLine": 27}]
fact[5] control Inside del_list, group membership is required and a separate explicit request.user.is_staff check raises PermissionDenied when the caller is not staff. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 18, "endLine": 23}]
fact[6] control For the stated relation, group membership satisfies the first explicit check, but is_staff=False fails the second; superuser status is not an alternative branch in this entry. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 18, "endLine": 23}]
fact[7] effect Only after the authorization checks does the POST branch delete the selected TaskList and redirect; the non-staff branch cannot reach that call. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 25, "endLine": 28}]
fact[8] condition The assessed operation is the POST branch, and the supplied task assumptions state that the request reaches this view with the stated identity and settings after unrelated checks. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 25, "endLine": 29}]
Missing: []

## todo-list-changed-dsl completed
source_refuted | The supplied source enforces the expected allow decision for the stated caller and resource. The declared route sends the delete URL to del_list, and the imported view is the routed target. Before the body proceeds, login_required requires an authenticated caller; user_passes_test invokes staff_check. With TODO_STAFF_ONLY=False, that decorator gate itself permits logged-in users, but the view then applies the stronger project-owned checks: the list's group must be in request.user.groups.all() and request.user.is_staff must be true. The request-selected resource is fetched by list_id as a TaskList; the supplied valid matching slug is part of the route but is not independently used to filter the object. The separately checked resource is the TaskList's group, which must remain the caller's group membership rather than merely relying on the caller's staff role. For the stated same-group staff member, neither PermissionDenied branch is reached. Because the method is POST, the view deletes the identified TaskList and redirects, so the protected delete effect is reachable under the visible allow branch. The caller's non-superuser status does not block this path: no superuser branch is required or used. No decisive source-external fact remains unknown under the task assumptions; deployment, authentication backend, middleware, and storage success are outside scope and are expressly assumed or not needed to decide authorization reachability. Source discovery is not-tested, so this conclusion is limited to the supplied route and view path, not a repository-wide completeness claim.
fact[0] entry The declared POST delete URL is routed to del_list, and the supplied views export binds that callable under the todo views namespace. | [{"sourceId": "src-2aa84d8e91e9c931", "startLine": 23, "endLine": 25}, {"sourceId": "src-543995004a0ed0e1", "startLine": 1, "endLine": 3}]
fact[1] binding The assessed view is guarded by login_required and receives the runtime caller through request.user. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 11, "endLine": 13}]
fact[2] binding The requested list is bound to a TaskList selected by the URL list_id; the URL list_slug is accepted by the callable but is not used in this object lookup. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 13, "endLine": 16}]
fact[3] binding Authorization separately checks the selected list's group against the caller's group membership, so the checked group is distinct from the caller identity and from the list's numeric identifier. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 16, "endLine": 21}]
fact[4] control The entry has a user_passes_test gate using staff_check; staff_check permits all logged-in users when TODO_STAFF_ONLY is false, while the supplied default would otherwise be true if not overridden. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 11, "endLine": 13}, {"sourceId": "src-cf660372383c8172", "startLine": 17, "endLine": 27}, {"sourceId": "src-173a5e8edd671717", "startLine": 4, "endLine": 12}]
fact[5] control The strongest visible authorization decision requires both membership in the selected list's group and request.user.is_staff; failure of either check raises PermissionDenied. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 18, "endLine": 23}]
fact[6] condition Only the POST branch performs deletion; non-POST requests take a separate rendering path. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 25, "endLine": 32}]
fact[7] effect After the visible group and staff checks pass on POST, the selected TaskList is deleted and the response redirects to the lists view. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 20, "endLine": 28}]
fact[8] control The supplied list-deletion authorization path does not require superuser status or provide a superuser-only alternative; the decisive role check is is_staff together with group membership. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 18, "endLine": 23}]
Missing: []

## todo-list-changed-markdown completed
source_refuted | The fixed source enforces the stated policy expectation for the supplied state, and the actual authorization decision is allow. The route binds the delete-list entry to the supplied list ID and slug, and the package export resolves the entry to del_list. The view requires authentication, then applies two independent authorization checks: the list's group must be among the caller's groups, and the caller must have is_staff=True. With the task-stated authenticated staff caller who belongs to the list's group, both checks pass. On POST, the view deletes the existing TaskList and redirects, so the protected operation is reachable. TODO_STAFF_ONLY=False weakens only the decorator's configurable global gate: staff_check returns True for all logged-in users in that setting. It does not bypass the view's explicit group-membership and staff checks, which are the strongest visible control. The matching slug and existing-list facts are task assumptions; the route pattern and the view's ID lookup are source facts. The source does not itself establish README text, deployment configuration, authentication-backend behavior, middleware behavior, or database execution, but the task explicitly supplies or assumes those conditions, and none is decisive under the requested reachability assessment.
fact[0] entry The application routes an integer list ID and string list slug followed by delete/ to del_list, and the views package exports del_list for that route. | [{"sourceId": "src-2aa84d8e91e9c931", "startLine": 18, "endLine": 25}, {"sourceId": "src-543995004a0ed0e1", "startLine": 1, "endLine": 3}]
fact[1] binding The entry is protected by Django's login-required decorator, so the supplied authenticated caller satisfies the visible authentication gate. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 11, "endLine": 13}]
fact[2] binding The view resolves the target TaskList by the route's list_id; the route also supplies list_slug, but the shown lookup does not independently compare the slug. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 13, "endLine": 16}]
fact[3] control The view denies access unless the target list's group is in the current user's groups. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 18, "endLine": 21}]
fact[4] control The view denies access unless the current user's is_staff attribute is true. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 18, "endLine": 23}]
fact[5] condition The configurable staff_check returns user.is_staff when TODO_STAFF_ONLY is true, but returns true for all logged-in users when the setting is false. | [{"sourceId": "src-cf660372383c8172", "startLine": 17, "endLine": 27}]
fact[6] effect For a POST request after the checks pass, the view deletes the resolved TaskList and redirects to the list index. | [{"sourceId": "src-cb30d8a73eff11db", "startLine": 25, "endLine": 28}]
fact[7] binding A TaskList has a group foreign key, making the group relation used by the authorization check a property of the protected resource. | [{"sourceId": "src-f2f99f656232b261", "startLine": 55, "endLine": 59}]
Missing: []
